"","median","lower","upper","days_since_infection"
"1",0.00506641392029025,0.000439586836474526,0.0193084632609345,0
"2",0.0412449307912546,0.00611951071609722,0.150342526802644,1
"3",0.249950886766405,0.0506786394406696,0.758841666046654,2
"4",0.705690704441981,0.233068196463457,0.876973994202819,3
"5",0.777053899655691,0.551844893796076,0.890632852540154,4
"6",0.756974323838298,0.603503163461839,0.879406508267821,5
"7",0.71503239488057,0.564437114164017,0.852758341975225,6
"8",0.667668700155569,0.521367769568962,0.81239171870814,7
"9",0.615824363243866,0.475111408089403,0.764813480042319,8
"10",0.562660728469676,0.427859939736497,0.710786070822386,9
"11",0.506575716569672,0.380955825487084,0.651387263273634,10
"12",0.449778410329213,0.334146920913064,0.586374888664613,11
"13",0.395533026457904,0.289900010519229,0.522806163837032,12
"14",0.343609429518815,0.244858624372248,0.461892643722716,13
"15",0.294723573900437,0.204463446148078,0.404181941828301,14
"16",0.250914981822252,0.167093891156321,0.350534305405284,15
"17",0.211170096024865,0.134168010351141,0.303803821047421,16
"18",0.17701418172897,0.105278530471348,0.26300811189645,17
"19",0.147037468428267,0.0817415710789602,0.227195640662409,18
"20",0.120976729021822,0.0629314700900455,0.196939801837481,19
"21",0.0988585684435365,0.0481797700268006,0.170361916422205,20
"22",0.0806767561610252,0.0361271613123747,0.146812487303434,21
"23",0.0655928703434937,0.0267560459143411,0.126141950641674,22
"24",0.0532780994366007,0.0200354350048525,0.108559582472944,23
"25",0.0429115863136249,0.0149596003082058,0.0935507785742138,24
"26",0.0345505691848854,0.0110900633281374,0.0799767195215154,25
"27",0.0278716724181777,0.00814688830466505,0.0684993056697612,26
"28",0.0223482818129085,0.00593843475800027,0.0588649668232485,27
"29",0.0179287585484181,0.0043895717843561,0.0505236596878817,28
"30",0.014355018613504,0.00324275650037585,0.0430799736617192,29
"31",0.0115069247094283,0.00236751499823277,0.0367451913530773,30
